,code
1387,696
1388,694
1389,5554
1390,693
1391,5547
1392,691
1393,5544
1394,690
1395,5524
1396,5521
1397,692
1398,689
1399,5518
1400,5504
1401,688
1402,687
1403,5501
1404,5496
1405,686
1406,684
1407,5484
1408,5478
1409,685
1410,683
1411,5475
1412,5472
1413,682
1414,681
1415,5470
1416,680
1417,5461
1418,679
1419,5458
1420,5456
1421,677
1422,5447
1423,5444
1424,678
1425,676
1426,5434
1427,5432
1428,675
1429,674
1430,5428
1431,5417
1432,673
1433,671
1434,5408
1435,5400
1436,672
1437,670
1438,5398
1439,669
1440,5396
1441,5392
1442,668
1443,667
1444,5390
1445,664
1446,5382
1447,5375
1448,5371
1449,666
1450,661
1451,5361
1452,5356
1453,659
1454,5353
1455,5350
1456,658
1457,5347
1458,5343
1459,660
1460,657
1461,5324
1462,5322
1463,656
1464,654
1465,5318
1466,5313
1467,653
1468,652
1469,5309
1470,650
1471,5306
1472,5302
1473,649
1474,5299
1475,5297
1476,651
1477,648
1478,5295
1479,5287
1480,5285
1481,647
1482,646
1483,5283
1484,645
1485,5272
1486,644
1487,5269
1488,642
1489,5265
1490,641
1491,5263
1492,640
1493,5254
1494,639
1495,643
1496,638
1497,5249
1498,5246
1499,5242
1500,636
1501,5234
1502,5228
1503,635
1504,5225
1505,634
1506,5198
1507,632
1508,5196
1509,5189
1510,633
1511,631
1512,5186
1513,630
1514,5184
1515,629
1516,5181
1517,5177
1518,628
1519,5174
1520,627
1521,5166
1522,5162
1523,626
1524,625
1525,5158
1526,623
1527,5154
1528,5148
1529,624
1530,621
1531,5142
1532,5138
1533,619
1534,5134
1535,5130
1536,618
1537,5118
1538,617
1539,5116
1540,5101
1541,620
1542,616
1543,5087
1544,5082
1545,615
1546,5080
1547,5077
1548,614
1549,5073
1550,613
1551,5070
1552,612
1553,5068
1554,5065
1555,611
1556,5062
1557,5060
1558,610
1559,5056
1560,609
1561,5053
1562,5050
1563,607
1564,5048
1565,605
1566,5040
1567,604
1568,5036
1569,603
1570,5027
1571,5024
1572,602
1573,5022
1574,5018
1575,606
1576,4997
1577,600
1578,4994
1579,599
1580,4989
1581,4975
1582,598
1583,4971
1584,4968
1585,597
1586,4965
1587,4961
1588,596
1589,4957
1590,595
1591,4955
1592,4950
1593,594
1594,4947
1595,593
1596,4934
1597,4930
1598,592
1599,4926
1600,591
1601,4921
1602,589
1603,4918
1604,4915
1605,588
1606,4912
1607,4909
1608,586
1609,4907
1610,4905
1611,585
1612,584
1613,4896
1614,4889
1615,4886
1616,4884
1617,582
1618,4880
1619,4877
1620,581
1621,4873
1622,580
1623,4869
1624,4859
1625,579
1626,4856
1627,4853
1628,578
1629,4850
1630,4846
1631,4843
1632,4840
1633,575
1634,4836
1635,574
1636,4821
1637,576
1638,573
1639,4817
1640,4814
1641,572
1642,4809
1643,4807
1644,569
1645,4805
1646,4802
1647,571
1648,568
1649,4787
1650,567
1651,4784
1652,566
1653,4779
1654,564
1655,4771
1656,4769
1657,563
1658,4767
1659,562
1660,4764
1661,561
1662,4761
1663,560
1664,559
1665,4755
1666,4752
1667,4750
1668,558
1669,557
1670,4747
1671,556
1672,4743
1673,555
1674,4740
1675,554
1676,4737
1677,4726
1678,553
1679,4723
1680,552
1681,4720
1682,551
1683,4713
1684,550
1685,4710
1686,549
1687,4708
1688,548
1689,4703
1690,547
1691,4695
1692,545
1693,4691
1694,546
1695,544
1696,4688
1697,542
1698,4678
1699,541
1700,543
1701,540
1702,4675
1703,539
1704,4671
1705,4668
1706,537
1707,4664
1708,4661
1709,536
1710,4655
1711,535
1712,4651
1713,4648
1714,538
1715,4635
1716,533
1717,4630
1718,4624
1719,4622
1720,532
1721,531
1722,4616
1723,4614
1724,530
1725,4612
1726,529
1727,4610
1728,4602
1729,4599
1730,525
1731,4595
1732,524
1733,4593
1734,4584
1735,526
1736,523
1737,4580
1738,4577
1739,522
1740,521
1741,4571
1742,519
1743,4561
1744,4556
1745,518
1746,4552
1747,517
1748,4549
1749,515
1750,4547
1751,4543
1752,516
1753,514
1754,4539
1755,4531
1756,513
1757,4529
1758,511
1759,4525
1760,4523
1761,512
1762,510
1763,509
1764,508
1765,4516
1766,507
1767,4514
1768,4511
1769,506
1770,505
